Message stats for scenario K_2-Photo_5000-Scenario_5-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 10798
coverageValue-----------------	297	291	291	278	275	340	360	233	283	331	342	282	352	166	206	347	331	357	250	261	187	186	218	293	247	234	268	207	251	312	233	271	319	194	273	213	248	312	267	214	244	233	288	266	326	308	242	247	324	149	221	162	193	217	230	249	194	96	211	300	171	120	120	272	120	281	120	214	286	216	120	65	272	264	295	216	176	196	220	200	248	318	251	255	202	174	173	189	284	207	176	271	232	209	254	149	167	302	157	181	
redundantCoverageValue--------	123	249	249	142	145	320	180	127	77	149	198	258	188	134	154	133	149	123	170	39	53	114	82	67	173	126	92	93	49	168	67	209	161	106	27	27	52	108	93	86	56	247	72	94	274	172	118	113	156	31	139	198	47	23	70	111	46	84	29	360	69	0	0	148	0	79	0	206	134	144	0	55	148	36	185	24	124	104	200	220	292	102	49	105	98	6	7	51	136	93	4	209	188	31	166	31	13	298	83	59	
halfCoverageTime--------------	12592196.0	14323166.0	11280768.0	13203724.0	12651454.0	11791586.0	12566072.0	19698229.0	1431186.0	12566031.0	11280736.0	12565110.0	12565126.0	.0	20344774.0	11791592.0	14319528.0	13084919.0	12651464.0	29186206.0	12565382.0	29588097.0	14141279.0	12651436.0	4014763.0	14141296.0	757908.0	19664388.0	12566048.0	11280746.0	13225154.0	11280741.0	382414.0	20344804.0	12566650.0	14343345.0	11280791.0	12574286.0	14319426.0	14141290.0	19748336.0	13267049.0	4023044.0	19664092.0	757852.0	13201574.0	19664432.0	12566638.0	12566036.0	.0	19664420.0	.0	19664426.0	14319523.0	29431432.0	17846478.0	12566026.0	.0	13607020.0	490376.0	.0	.0	.0	12565388.0	.0	13202200.0	.0	12651448.0	490406.0	15535550.0	.0	.0	11280720.0	15535556.0	11280715.0	4014570.0	.0	13287566.0	15535568.0	28384892.0	4014582.0	4805100.0	4013772.0	4299389.0	19719456.0	.0	.0	12581046.0	4014622.0	4014606.0	.0	4013576.0	13227648.0	29663308.0	4293008.0	.0	.0	4013600.0	.0	13607031.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	1	3	4	5	3	4	1	2	13	1	3	4	1	2	2	2	7	2	3	5	2	3	2	4	2	6	5	2	3	1	3	4	2	3	2	4	2	3	1	0	2	2	4	4	3	3	3	3	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	6.65	9.34	3.75	7.01	7.58	9.17	4.26	7.26	4.02	5.04	9.02	1.12	6.61	6.76	5.98	5.8	6.77	8.19	7.88	5.72	7.43	7.08	4.81	6.03	7.05	6.11	5.46	6.08	3.72	7.36	9.26	.58	7.96	5.26	6.15	9.09	6.48	7.76	5.45	6.4	3.64	.0	5.91	5.81	9.64	6.65	10.0	9.32	8.01	6.13	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	347	360	360	360	360	360	360	360	360	355	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	3120	2760	2520	2700	2460	2460	1920	2580	2220	2160	2760	2880	2340	2940	2820	3180	2280	2940	2340	2160	1933	2640	2100	2940	2580	2940	2400	2640	2280	2165	1740	2400	2760	1740	2340	2640	1800	2040	3180	2520	1920	2280	2460	1920	2460	2520	2580	1740	2640	1620	2520	2400	2280	2400	2640	1920	2040	2340	2220	2580	2040	2220	2100	2580	2160	2520	2340	2100	2580	3000	2640	1980	2520	2280	2400	2100	1920	2400	2040	2160	3060	2880	2400	3060	2640	2760	2100	2280	2640	2220	2160	2940	2940	2280	3000	2100	2220	2880	2220	2880	
additionalPoiTime-------------	0.0
algorithmTime-----------------	7.44436772E7
serverTime--------------------	2.19181405E7
Total Transferred Metadata----	15088

Photo List Size: 10798
Gained Coverage %-------------	0.6631927074648435
Gained Redundancy %-----------	0.04781518772316091
Total Cluster Created---------	50
Total Transferred Photo-------	1854
Total Photo at Destination----	593
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	1	6	2	9	14	16	17	19	8	8	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	1	1	5	11	20	20	20	13	9	
Redundant Ratio---------------	5	89	6	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	11	12	13	
NumOfPoint Distribution-------	1	6	14	13	10	3	1	1	0	0	0	0	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	52	1	0	3	3	9	12	10	2	7	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	6	12	0	23	25	1	10	0	1	4	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1565	727	220	1188	1011	324	447	153	127	514	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	21.502202643171806	23.01762114537445	23.497797356828194	20.938325991189426	21.312775330396477	22.58149779735683	23.440528634361232	23.255506607929515	22.80616740088106	24.154185022026432	
Nodes Above Average-----------	118	111	96	96	118	110	105	97	96	107	93	
Nodes Below Average-----------	109	116	131	131	109	117	122	130	131	120	134	

Average Coverage--------------	1207.3656387665199	1260.0748898678414	1344.784140969163	1371.6299559471365	1230.0220264317181	1249.704845814978	1319.2907488986784	1368.5154185022027	1358.273127753304	1332.9603524229076	1408.1145374449338	
Nodes Above Average-----------	118	111	105	101	116	115	111	103	104	105	97	
Nodes Below Average-----------	109	116	122	126	111	112	116	124	123	122	130	
Photos Above Average----------	26	28	32	33	27	28	31	33	32	31	35	
Photos Below Average----------	14	14	14	15	14	14	14	15	15	14	15	
Network Coverage--------------	35982	35982	35982	35982	35982	35982	35982	35982	35982	35982	35982	

Average Redundancy------------	25.938325991189426	30.05726872246696	36.27312775330397	38.23788546255506	26.277533039647576	29.061674008810574	35.59911894273128	37.91629955947136	37.05726872246696	35.409691629955944	41.136563876651984	
Nodes Above Average-----------	96	88	76	78	94	88	78	78	77	78	77	
Nodes Below Average-----------	131	139	151	149	133	139	149	149	150	149	150	
Photos Above Average----------	24	26	31	32	25	26	30	32	32	30	34	
Photos Below Average----------	17	18	18	18	17	17	18	18	18	18	18	
Network Redundancy------------	243978	256878	277518	284058	249198	254298	271578	283278	280758	274638	292998	

